Cycle,Phase,RB,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10,Rep11,Rep12,Rep13,Rep14,Rep15,Rep16,Rep17,Rep18,Rep19,Rep20,Rep21,Min,Mean,Median,Max,StdDev,StdError
c6,p6,rb01,0.10833333333333334,0.1,0.09166666666666666,0.10833333333333334,0.10833333333333334,,,,,,,,,,,,,,,,,0.09166666666666666,0.10333333333333332,0.10833333333333334,0.10833333333333334,0.007453559924999302,0.0016265001215808894
c6,p7,rb01,0.08333333333333333,0.10833333333333334,0.09166666666666666,0.1,0.09166666666666666,,,,,,,,,,,,,,,,,0.08333333333333333,0.095,0.09166666666666666,0.10833333333333334,0.009501461875826154,0.002073388964700498
c6,p8,rb01,0.11666666666666667,0.10833333333333334,0.10833333333333334,0.10833333333333334,0.11666666666666667,,,,,,,,,,,,,,,,,0.10833333333333334,0.11166666666666666,0.10833333333333334,0.11666666666666667,0.004564354645876383,0.0009960238411119945
c6,p9,rb01,0.1,0.10833333333333334,0.10833333333333334,0.10833333333333334,0.10833333333333334,,,,,,,,,,,,,,,,,0.1,0.10666666666666669,0.10833333333333334,0.10833333333333334,0.0037267799624996485,0.0008132500607904441
c7,p1,rb01,0.1,0.11666666666666667,0.11666666666666667,0.10833333333333334,0.11666666666666667,,,,,,,,,,,,,,,,,0.1,0.11166666666666666,0.11666666666666667,0.11666666666666667,0.007453559924999297,0.0016265001215808883
c7,p2,rb01,0.125,0.11666666666666667,0.10833333333333334,0.11666666666666667,0.09166666666666666,0.11666666666666667,,,,,,,,,,,,,,,,0.09166666666666666,0.1125,0.11666666666666667,0.125,0.011486707293408522,0.002506605031325994
c7,p3,rb01,0.10833333333333334,0.11666666666666667,0.125,0.125,0.11666666666666667,,,,,,,,,,,,,,,,,0.10833333333333334,0.11833333333333333,0.11666666666666667,0.125,0.006972166887783961,0.001521451548625461
c7,p4,rb01,0.125,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.125,,,,,,,,,,,,,,,,,0.11666666666666667,0.12,0.11666666666666667,0.125,0.004564354645876383,0.0009960238411119945
c7,p5,rb01,0.125,0.125,0.13333333333333333,0.058333333333333334,0.06666666666666667,,,,,,,,,,,,,,,,,0.058333333333333334,0.10166666666666666,0.125,0.13333333333333333,0.03603624718406609,0.007863753832529624
c7,p6,rb01,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.05,,,,,,,,,,,,,,,,,0.05,0.056666666666666664,0.058333333333333334,0.058333333333333334,0.0037267799624996485,0.0008132500607904441
c7,p7,rb01,0.058333333333333334,0.058333333333333334,0.06666666666666667,0.05,0.05,,,,,,,,,,,,,,,,,0.05,0.056666666666666664,0.058333333333333334,0.06666666666666667,0.006972166887783961,0.001521451548625461
c7,p8,rb01,0.058333333333333334,0.06666666666666667,0.058333333333333334,0.05,0.058333333333333334,,,,,,,,,,,,,,,,,0.05,0.058333333333333334,0.058333333333333334,0.06666666666666667,0.005892556509887895,0.001285861249684099
c7,p9,rb01,0.058333333333333334,0.058333333333333334,0.05,0.058333333333333334,0.05,,,,,,,,,,,,,,,,,0.05,0.05500000000000001,0.058333333333333334,0.058333333333333334,0.004564354645876383,0.0009960238411119945
